gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
NA,52,High School,Good,Good,Exciting,Very Happy,$10000 to $14999,Getting better,Good,Very Good,Good
NA,36,High School,NA,NA,NA,NA,NA,Stayed the same,NA,NA,NA
Male,74,High School,Fair,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Fair,Good,Poor
NA,36,Graduates,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Fair
Female,34,Graduates,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
NA,46,Bachelors,Good,Excellent,Dull,Not too Happy,$25000 or more,Stayed the same,Excellent,Fair,Fair
Male,21,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Very Good,Excellent
NA,72,Less than High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Fair
NA,46,Bachelors,Fair,Poor,Routine,Pretty Happy,$25000 or more,Getting better,Fair,Good,Fair
Male,21,High School,Excellent,Good,Routine,Pretty Happy,NA,Getting better,Very Good,Good,Good
Female,46,High School,Very Good,NA,NA,Not too Happy,$25000 or more,Getting better,Fair,Good,Good
Female,53,High School,Very Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Good,Very Good
Male,74,Graduates,Good,Good,Routine,Not too Happy,NA,Stayed the same,Good,Good,Fair
Female,70,Less than High School,Good,NA,NA,Pretty Happy,Under $1000,Getting worse,Fair,Poor,Excellent
NA,36,Bachelors,Very Good,Poor,Exciting,Pretty Happy,$25000 or more,Getting better,Fair,Good,Fair
Female,57,Less than High School,Very Good,NA,NA,Pretty Happy,$15000 to $19999,Stayed the same,Poor,Excellent,Very Good
NA,60,Bachelors,Good,Good,Routine,Not too Happy,$25000 or more,Getting better,Good,Very Good,Good
Male,53,Less than High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
NA,69,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Good,Very Good
Male,38,Bachelors,Very Good,Excellent,Routine,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,48,High School,Excellent,Good,Exciting,Pretty Happy,NA,Getting better,Very Good,Very Good,Excellent
NA,30,Bachelors,Good,Fair,Dull,Pretty Happy,$25000 or more,Getting better,Good,Fair,Fair
NA,29,High School,Excellent,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Very Good,Very Good
Male,68,Bachelors,Very Good,Good,Routine,Very Happy,$25000 or more,Getting worse,Fair,Very Good,Good
NA,64,High School,Very Good,Fair,Exciting,Pretty Happy,$25000 or more,Getting worse,Fair,Excellent,Very Good
Female,43,Graduates,Very Good,Good,Routine,Very Happy,$25000 or more,Getting worse,Good,Good,Good
Male,69,High School,Good,NA,NA,Not too Happy,$25000 or more,Stayed the same,Good,Good,Fair
NA,47,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Good,Fair,Good
Female,57,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Fair,Fair,Very Good
Female,50,Graduates,Very Good,Good,Routine,Not too Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,25,High School,Good,NA,NA,Pretty Happy,NA,Getting better,Poor,Very Good,Very Good
Female,75,High School,Excellent,Excellent,Exciting,Very Happy,$15000 to $19999,Stayed the same,Excellent,Very Good,Good
Female,46,High School,Excellent,NA,NA,Very Happy,NA,Stayed the same,Very Good,Very Good,Excellent
NA,77,Less than High School,Good,Poor,Routine,Not too Happy,$20000 to $24999,Getting better,Fair,Good,Fair
Male,18,Less than High School,Very Good,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Good,Excellent,Excellent
Male,62,High School,Good,Excellent,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,30,Associate/Junior College,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,70,Less than High School,Good,Poor,Routine,Not too Happy,$20000 to $24999,Getting worse,Fair,Fair,Fair
NA,50,Less than High School,Good,NA,NA,Not too Happy,$3000 to $3999,Stayed the same,Fair,Fair,Fair
NA,44,High School,Very Good,Good,Routine,Pretty Happy,$10000 to $14999,Stayed the same,Very Good,Excellent,Excellent
Male,33,High School,Very Good,Good,Routine,Very Happy,$25000 or more,Getting better,Very Good,Excellent,Good
Male,34,Graduates,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Good
Male,46,Bachelors,Very Good,Fair,Routine,Pretty Happy,NA,Stayed the same,Good,Good,Fair
NA,51,High School,Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Good
Female,28,High School,Fair,Fair,Routine,Not too Happy,$25000 or more,Getting better,Fair,Good,Good
NA,74,Bachelors,Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Good,Good,Good
Male,29,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Good,Fair,Fair
NA,49,Less than High School,Good,Good,Exciting,Very Happy,$25000 or more,Getting worse,Excellent,Good,Good
Male,28,Bachelors,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Good,Fair
Male,48,High School,Fair,NA,NA,Not too Happy,$25000 or more,Stayed the same,Good,Very Good,Fair
Male,24,High School,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Excellent,Excellent
Male,51,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Very Good
Male,42,Bachelors,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Fair
Female,44,Bachelors,Good,Good,Exciting,Very Happy,NA,Stayed the same,Good,Good,Very Good
NA,33,High School,Very Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Fair,Poor,Excellent
Female,29,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Fair,Fair,Good
Male,48,Bachelors,Very Good,NA,NA,Pretty Happy,NA,Getting better,Very Good,Very Good,Good
NA,62,Less than High School,Very Good,Good,Routine,Very Happy,$25000 or more,Getting better,Very Good,Good,Good
Male,88,High School,Very Good,Good,Routine,Not too Happy,NA,Getting better,Good,Good,Good
Female,65,Graduates,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,28,High School,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Excellent,Good,Good
Male,58,Associate/Junior College,Very Good,Good,Exciting,Very Happy,$25000 or more,Stayed the same,Very Good,Excellent,Very Good
Female,26,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Fair
Male,61,High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Very Good
NA,30,High School,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Fair,Good,Good
Transgender,22,High School,Fair,NA,NA,Not too Happy,$6000 to $6999,Getting better,Fair,Poor,Excellent
NA,24,High School,Very Good,Good,Exciting,Pretty Happy,NA,Stayed the same,Excellent,Very Good,Excellent
Female,29,High School,Very Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Good,Good
Female,70,High School,Good,Poor,Exciting,Pretty Happy,$25000 or more,Stayed the same,Poor,Excellent,Very Good
Female,34,Graduates,Very Good,Good,Exciting,Pretty Happy,NA,Getting better,Very Good,Very Good,Very Good
NA,66,High School,Very Good,Good,Exciting,Very Happy,NA,Stayed the same,Good,Very Good,Very Good
Male,84,High School,Fair,Good,Routine,Pretty Happy,$10000 to $14999,Stayed the same,Good,Good,Fair
NA,37,Bachelors,Very Good,NA,NA,Very Happy,NA,Stayed the same,Very Good,Excellent,Very Good
NA,61,Associate/Junior College,Poor,NA,NA,Not too Happy,$15000 to $19999,Getting worse,Poor,Fair,Poor
NA,58,High School,Excellent,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Excellent,Good,Good
NA,88,Less than High School,Good,Fair,Routine,Pretty Happy,$10000 to $14999,Stayed the same,Good,Good,Good
NA,80,Less than High School,NA,Excellent,Exciting,Pretty Happy,NA,Stayed the same,NA,NA,NA
Female,36,High School,Good,Fair,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
NA,33,Bachelors,Fair,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Very Good
