gender,age,degree,quallife,health,life,happy,income,confedvac,confedvacy,finalter,hlthphys,hlthmntl,satsoc,white,black,amer_indian_alaska,asian_indian,chinese,filipino,japenese,korean,vietnamese,oth_asian,native_hawaiian,guamanian_chamorro,samoan,oth_pacific_islander,oth_race,hispanic
Transgender,61,Graduates,Very Good,Excellent,Routine,Not too Happy,$25000 or more,NA,NA,Getting better,Excellent,Excellent,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,33,Bachelors,Good,Good,Routine,Pretty Happy,Under $1000,NA,NA,Getting worse,Very Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,27,Graduates,Good,Excellent,NA,Pretty Happy,$20000 to $24999,NA,Only some,Stayed the same,Very Good,Good,Very Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,25,Bachelors,NA,Excellent,Routine,Very Happy,$25000 or more,NA,NA,Getting better,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,65,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,NA,Hardly any,Stayed the same,Good,Very Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,55,Associate/Junior College,Good,Fair,NA,Not too Happy,$25000 or more,NA,Only some,Getting better,Fair,Good,Fair,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,25,Less than High School,Excellent,Good,NA,Not too Happy,Under $1000,NA,Hardly any,Stayed the same,Very Good,Very Good,Excellent,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Male,61,Graduates,Excellent,Excellent,Routine,Very Happy,$25000 or more,NA,Only some,Stayed the same,Excellent,Excellent,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,77,Bachelors,Good,Fair,NA,Pretty Happy,$25000 or more,A great deal,NA,Getting worse,Good,Excellent,Fair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Male,67,High School,Good,Good,Exciting,Not too Happy,$20000 to $24999,NA,NA,Getting worse,Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,NA,Graduates,Good,Excellent,NA,Pretty Happy,$7000 to $7999,Hardly any,NA,Getting better,Very Good,Good,Good,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,27,Graduates,Excellent,Excellent,Exciting,Pretty Happy,$25000 or more,NA,NA,Getting better,Excellent,Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,50,Graduates,Very Good,Good,Routine,Not too Happy,$25000 or more,NA,NA,Stayed the same,Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,72,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Only some,NA,Stayed the same,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,71,Bachelors,Very Good,Good,Exciting,Not too Happy,$25000 or more,Only some,NA,Stayed the same,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,56,Graduates,Very Good,Good,Exciting,Pretty Happy,Refused,NA,A great deal,Getting better,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,35,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,NA,Only some,Getting better,Very Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,72,High School,Good,Good,Routine,Not too Happy,$25000 or more,NA,NA,Stayed the same,Very Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,35,High School,Very Good,Good,NA,Very Happy,NA,NA,Only some,Stayed the same,Good,Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,46,Bachelors,Very Good,Good,NA,Pretty Happy,NA,Only some,NA,Getting better,Very Good,Good,Good,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Male,28,Bachelors,Excellent,Excellent,Dull,Not too Happy,$25000 or more,NA,NA,Getting better,Excellent,Poor,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,32,Less than High School,Fair,Fair,NA,Pretty Happy,$15000 to $19999,Hardly any,NA,Getting worse,Fair,Good,Fair,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,32,Graduates,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,NA,NA,Getting worse,Excellent,Fair,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,43,High School,Fair,Fair,Routine,Not too Happy,$15000 to $19999,NA,NA,Getting worse,Fair,Fair,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,34,Graduates,Good,Good,NA,Pretty Happy,$25000 or more,NA,Only some,Getting better,Very Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,47,Bachelors,Fair,Excellent,Routine,Not too Happy,Refused,Only some,NA,Getting worse,Excellent,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,59,Bachelors,Very Good,Good,NA,Pretty Happy,$25000 or more,A great deal,NA,Stayed the same,Good,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,NA,Bachelors,Good,Excellent,Routine,Not too Happy,$20000 to $24999,A great deal,NA,Getting worse,Good,Very Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,NA,High School,Very Good,Fair,NA,Not too Happy,$10000 to $14999,NA,NA,Stayed the same,Good,Very Good,Very Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,46,High School,Fair,Poor,Routine,Not too Happy,$25000 or more,NA,Only some,Getting better,Poor,Fair,Poor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,69,Graduates,Very Good,Good,NA,Pretty Happy,Refused,NA,A great deal,Getting better,Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,62,Graduates,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Only some,NA,Getting worse,NA,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,55,High School,Fair,Fair,Routine,Not too Happy,$25000 or more,Only some,NA,Stayed the same,Fair,Fair,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Less than High School,NA,Fair,NA,Not too Happy,$10000 to $14999,NA,NA,Stayed the same,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,78,High School,Fair,Good,NA,Pretty Happy,$10000 to $14999,Only some,NA,Stayed the same,Good,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
